age,workclass
24, Private
24, Private
20, Private
64, ?
28, Private
36, Self-emp-not-inc
44, Self-emp-inc
38, Private
22, Private
56, Private
24, Private
24, Self-emp-not-inc
22, Private
21, Private
42, Private
41, Local-gov
19, Private
67, Self-emp-not-inc
20, Private
32, Private
46, Private
52, Private
44, Private
65, ?
37, Local-gov
27, Self-emp-not-inc
35, Private
30, Private
64, Local-gov
48, Private
35, Private
28, Self-emp-not-inc
63, Self-emp-not-inc
40, Self-emp-not-inc
33, Private
40, Private
25, Private
45, Self-emp-inc
30, Private
53, Private
63, Private
27, Local-gov
31, Private
33, Private
39, State-gov
42, Self-emp-not-inc
19, Private
31, Private
53, Private
47, Self-emp-not-inc
27, Private
22, Private
29, Private
52, Private
32, Private
23, Private
27, Private
53, Private
18, Private
41, Private
27, Private
30, Private
41, Private
21, Private
58, State-gov
45, State-gov
40, Private
21, Private
29, Private
50, Private
26, Private
23, Private
27, Private
36, Local-gov
22, Federal-gov
37, Federal-gov
54, Private
36, Private
44, Private
38, Private
49, Private
18, Private
26, Private
48, Private
32, Private
35, State-gov
40, Private
40, Self-emp-not-inc
42, State-gov
30, Private
19, Private
36, Private
31, Private
50, Federal-gov
38, Private
35, Private
45, Private
29, Private
41, Private
33, Private
49, Private
28, Private
49, Local-gov
27, Private
47, Self-emp-inc
42, State-gov
30, Private
37, Local-gov
37, Private
51, Private
27, Federal-gov
53, Private
45, Private
37, Self-emp-inc
40, Federal-gov
54, State-gov
47, Self-emp-inc
35, Private
33, Private
28, Local-gov
39, State-gov
25, ?
33, Private
34, Private
53, Private
21, Private
31, State-gov
63, Private
21, Self-emp-not-inc
59, Private
50, Private
66, ?
19, Private
31, Private
23, Private
45, Private
35, Local-gov
32, Private
20, Private
38, Private
49, Private
64, Private
60, Local-gov
25, Private
21, Private
26, Private
23, Private
67, Self-emp-inc
24, Private
46, Private
38, State-gov
20, Private
28, ?
26, Private
58, Private
31, State-gov
37, State-gov
53, State-gov
45, Private
33, Private
33, State-gov
35, Private
60, Self-emp-not-inc
21, Private
38, Private
40, Private
40, Private
44, Self-emp-not-inc
27, Private
34, Self-emp-not-inc
20, ?
49, Local-gov
37, Private
52, Private
46, Private
20, Private
43, Private
46, Local-gov
25, State-gov
48, Private
36, Local-gov
37, Private
18, ?
42, Private
60, Private
37, Self-emp-inc
44, Local-gov
32, Private
29, Private
42, Local-gov
17, Private
41, Private
34, Private
56, Private
28, Private
28, Self-emp-not-inc
19, Private
49, Federal-gov
36, Self-emp-not-inc
25, Private
42, Private
47, Self-emp-not-inc
26, Private
35, Private
37, Private
39, Local-gov
42, Private
41, Private
23, Private
31, Federal-gov
36, Local-gov
20, Private
36, Private
50, Private
37, Private
25, Private
39, Private
32, Private
59, Private
29, Private
50, Private
42, Private
32, Private
48, Private
20, Private
50, Self-emp-not-inc
18, Private
60, Private
60, Private
42, Local-gov
49, Private
35, Self-emp-inc
30, Self-emp-not-inc
59, Private
24, Self-emp-inc
55, Private
19, Private
39, Private
48, Private
44, Private
21, Private
23, Private
22, Private
55, Self-emp-not-inc
19, Private
23, Private
46, Private
23, Private
47, Self-emp-inc
23, Private
42, Private
22, State-gov
18, Private
37, Private
34, Private
30, Private
62, Self-emp-not-inc
51, Private
34, Private
28, Self-emp-not-inc
56, Private
46, Private
46, Private
23, Local-gov
33, Private
27, Private
21, Private
18, ?
36, Private
37, Local-gov
39, Local-gov
36, Private
24, Private
26, Private
37, Private
34, Private
33, Private
33, Self-emp-not-inc
20, Private
26, Private
47, Private
17, Private
53, Private
31, Private
34, Private
23, Private
39, Private
22, ?
21, Private
40, Private
54, Local-gov
32, Federal-gov
29, Local-gov
68, ?
27, Local-gov
54, Private
23, Private
38, Private
54, Private
21, Private
40, Private
19, Private
21, ?
35, Private
39, Private
38, Private
41, Private
26, Private
35, Private
70, Self-emp-not-inc
45, Private
83, Private
59, Private
18, Private
31, Private
43, Private
24, Local-gov
33, Private
48, Local-gov
27, Private
41, Private
25, Private
53, Private
66, Self-emp-not-inc
31, Private
30, State-gov
22, Private
47, Self-emp-inc
74, Private
37, Private
35, Self-emp-not-inc
51, Self-emp-not-inc
40, Private
51, Local-gov
26, Private
53, Private
32, Private
29, Self-emp-not-inc
42, Private
22, Private
62, ?
33, Private
21, Private
46, Local-gov
25, Private
29, Private
29, Federal-gov
33, Private
50, Private
22, Private
40, Private
28, Private
54, Private
29, Private
49, Private
46, Private
71, Self-emp-not-inc
27, Private
56, Private
64, Private
23, Private
36, Private
39, Local-gov
26, Private
31, Federal-gov
36, Private
43, Private
25, Private
27, Private
24, Private
50, Self-emp-not-inc
30, Private
24, Private
41, Local-gov
29, Private
31, Private
54, Private
20, Private
37, Private
28, Local-gov
39, Private
46, State-gov
35, Private
36, Self-emp-not-inc
34, ?
44, Private
34, Self-emp-inc
28, Self-emp-not-inc
38, Self-emp-inc
64, ?
19, ?
35, Private
61, Private
45, Private
36, Private
34, Private
27, Private
22, Private
26, Private
19, Private
36, Private
51, Private
63, Private
51, Private
20, State-gov
42, Self-emp-not-inc
40, ?
25, Private
40, Private
41, ?
49, Private
46, Private
32, Self-emp-not-inc
28, Private
19, ?
19, Private
18, Private
39, Private
60, Self-emp-not-inc
46, Local-gov
38, Private
36, Private
45, Private
60, State-gov
30, Private
22, Private
23, Private
48, State-gov
46, Private
43, Private
25, Private
50, Private
61, Self-emp-inc
35, Private
65, Local-gov
56, Private
43, Self-emp-not-inc
55, Private
22, Private
40, Private
35, Private
22, ?
20, Private
46, Local-gov
43, Private
46, Federal-gov
39, Private
34, Private
35, Private
30, Private
25, Private
44, Private
35, Private
41, Private
43, Federal-gov
32, Private
50, Private
20, Private
29, Private
38, Private
20, Private
41, Private
27, Private
37, Private
62, State-gov
31, Private
49, Private
33, Local-gov
31, Private
19, Private
44, Private
31, Self-emp-inc
62, Private
65, Self-emp-not-inc
17, Private
60, Private
31, Private
29, Private
53, Private
44, Private
43, Private
40, Federal-gov
18, Private
47, Private
38, Federal-gov
37, Private
40, Private
57, Self-emp-inc
43, Private
32, Private
64, Private
18, Private
40, Self-emp-not-inc
17, ?
23, Private
45, Private
45, Self-emp-not-inc
27, Private
23, Private
58, Self-emp-not-inc
35, Private
47, Private
33, Private
27, Private
46, Private
24, Private
40, Private
44, Private
31, Local-gov
37, Private
23, Private
30, Self-emp-inc
31, Private
24, ?
32, Private
27, Private
35, Local-gov
27, Private
30, Self-emp-not-inc
33, Self-emp-not-inc
34, Private
29, Private
26, Local-gov
39, Self-emp-not-inc
37, Self-emp-inc
51, Private
40, Private
53, Private
58, Federal-gov
29, Private
33, Private
57, Private
69, State-gov
20, Private
56, Private
49, Private
34, Private
70, Private
44, Private
37, Private
58, Local-gov
42, Self-emp-not-inc
41, Private
28, Private
47, Local-gov
24, Private
58, Self-emp-not-inc
18, Private
50, Private
69, Private
84, Private
47, Private
19, Private
24, Private
48, ?
53, Private
58, Private
22, Private
36, Self-emp-not-inc
34, Private
43, Private
37, Private
43, Private
42, Private
21, Private
49, Self-emp-not-inc
35, Private
49, Self-emp-not-inc
28, Private
51, Private
30, ?
19, Private
56, Private
20, Private
22, Private
33, Private
54, ?
22, Private
68, Private
56, Local-gov
23, ?
69, Self-emp-not-inc
41, Private
33, Private
18, Private
17, Private
31, Private
50, Private
62, Private
41, Private
20, Federal-gov
23, Private
18, Private
53, ?
42, Private
23, Private
43, Private
47, Private
53, Local-gov
28, Private
28, State-gov
44, Private
58, Private
25, ?
26, Private
36, Self-emp-not-inc
27, Private
39, Private
25, Private
17, Private
39, Private
52, Private
24, Private
26, Self-emp-not-inc
24, ?
32, Private
49, Local-gov
20, ?
40, Private
52, Private
33, Private
19, Private
37, Private
21, State-gov
33, Private
28, Private
48, Private
43, Private
32, Private
28, Private
47, Self-emp-not-inc
37, Private
26, Private
55, Private
40, Private
31, Private
39, Private
54, Self-emp-inc
38, Private
53, Self-emp-not-inc
27, Self-emp-not-inc
42, Private
62, Private
47, Private
26, Private
33, ?
59, Private
42, Private
25, Private
58, Private
30, Private
21, Private
61, Private
33, Private
51, Private
70, Private
55, ?
29, Self-emp-not-inc
46, Private
35, Federal-gov
31, Private
37, Private
43, Private
23, Private
41, Private
42, Local-gov
26, Private
45, Private
25, Private
33, ?
38, Private
28, Private
68, Self-emp-not-inc
42, Local-gov
35, Private
36, Private
33, Private
22, Private
45, Local-gov
24, Private
57, Private
36, Local-gov
41, Private
26, Self-emp-not-inc
25, Self-emp-not-inc
53, State-gov
28, Local-gov
30, Local-gov
38, Self-emp-not-inc
37, Local-gov
30, Private
41, Private
29, ?
31, Private
36, Private
59, Self-emp-not-inc
33, Self-emp-not-inc
29, Private
49, State-gov
50, Federal-gov
33, Private
28, Private
81, ?
24, Private
32, Self-emp-not-inc
47, Federal-gov
44, ?
24, Private
37, Local-gov
51, Private
52, Private
22, Private
28, Private
47, Self-emp-not-inc
43, Private
25, Private
43, Private
25, Private
59, Private
29, Private
30, Private
24, Private
38, Private
37, Self-emp-not-inc
26, Private
30, Private
73, Local-gov
30, Private
33, Private
46, Private
40, ?
18, Private
35, Private
22, Private
50, Self-emp-inc
62, ?
39, Self-emp-inc
22, Private
33, Private
31, Private
29, Private
38, Self-emp-not-inc
24, Private
29, Local-gov
49, Federal-gov
33, Private
28, Private
22, Private
37, Private
30, Private
49, Private
29, Private
25, Private
36, Private
36, State-gov
21, Private
18, Private
30, Local-gov
44, Private
40, Private
43, Private
45, Private
29, Private
40, Private
43, Private
20, Private
32, State-gov
19, Private
21, Private
23, Private
24, Private
52, Private
51, ?
19, Private
54, Private
50, Private
29, Private
17, Private
47, Private
46, Private
30, Private
58, Private
48, Private
23, Private
23, Private
45, Private
20, Private
26, Private
50, Local-gov
49, Private
26, Private
47, Private
31, Private
19, ?
23, Private
35, Private
46, Private
28, Self-emp-not-inc
58, Private
21, Private
50, Self-emp-not-inc
30, ?
31, Private
31, Self-emp-not-inc
35, Self-emp-not-inc
33, Private
34, Private
67, ?
37, Private
48, Private
34, Federal-gov
24, Private
55, Private
50, Private
40, Private
33, Private
51, Federal-gov
30, Private
41, Private
47, Local-gov
27, Private
37, Private
40, Private
36, Private
37, Private
38, Private
40, Self-emp-not-inc
35, Private
47, Self-emp-not-inc
20, ?
33, Private
45, Private
66, ?
35, Self-emp-not-inc
32, Private
23, Private
19, Private
44, ?
20, Private
44, Self-emp-inc
41, State-gov
19, Private
48, Private
45, Private
40, Private
34, Private
20, Private
33, Private
30, Private
23, Private
34, Private
48, State-gov
32, ?
42, Private
22, Private
60, Self-emp-not-inc
42, Private
45, Private
47, Private
29, Private
34, Private
34, Private
39, Federal-gov
29, Private
42, Self-emp-inc
48, Private
53, Private
51, Private
44, Self-emp-not-inc
46, Self-emp-inc
51, Private
32, Private
22, ?
24, Private
33, Private
47, Self-emp-not-inc
64, Self-emp-not-inc
62, Private
52, Private
39, Private
42, Private
38, Federal-gov
55, Private
29, ?
42, Private
30, Private
32, Private
36, ?
50, Federal-gov
27, Private
47, Private
33, Private
48, Self-emp-not-inc
23, Private
31, Federal-gov
26, Private
61, Self-emp-not-inc
50, Private
49, Private
57, ?
19, Private
18, Private
44, Self-emp-not-inc
54, Private
35, State-gov
27, State-gov
50, Self-emp-inc
43, State-gov
28, Private
47, Private
21, Private
30, Private
19, Private
40, Private
55, Private
67, ?
31, Private
30, Private
54, ?
51, Federal-gov
34, Private
59, Private
50, Private
29, Private
17, State-gov
24, Private
52, ?
39, Private
18, ?
32, Private
25, ?
34, Private
44, Self-emp-not-inc
37, Local-gov
39, Private
32, Self-emp-inc
23, Private
45, Federal-gov
30, Private
20, Private
41, Private
21, Private
48, Private
31, Private
34, Private
25, Private
41, Self-emp-not-inc
35, Self-emp-not-inc
42, Private
34, Self-emp-not-inc
44, Private
32, Private
25, Private
23, Private
36, Private
53, Self-emp-not-inc
27, Private
27, Private
57, Private
17, Private
59, Local-gov
34, Private
30, Private
31, State-gov
18, ?
23, Private
19, Private
20, Self-emp-not-inc
52, Self-emp-not-inc
39, Local-gov
27, Private
19, Private
38, Local-gov
19, Private
34, Private
41, Private
23, Private
24, ?
24, Private
22, Private
45, Private
45, Private
48, Private
42, Private
35, Self-emp-not-inc
32, Private
51, Local-gov
59, Private
31, Local-gov
27, Local-gov
29, Private
57, Private
40, Private
31, Private
23, Private
42, Private
60, Private
53, Local-gov
20, ?
27, Private
31, Private
29, State-gov
22, Private
42, Private
63, Self-emp-inc
28, Private
79, Private
39, Private
29, Private
60, Private
58, Private
20, Private
44, Private
47, Private
59, Private
37, Private
21, Private
68, Private
43, Private
23, ?
23, Private
40, Local-gov
45, Self-emp-not-inc
34, ?
22, Private
38, Private
24, Private
23, Private
39, Federal-gov
26, Private
24, Private
22, Private
36, Private
20, Private
18, Private
38, Private
43, Self-emp-inc
56, Private
42, Private
35, Private
31, Private
73, Private
32, Private
37, Private
66, Private
22, Private
51, Private
31, Private
65, Private
39, Private
48, Private
20, Private
28, ?
48, Private
29, Federal-gov
36, Self-emp-not-inc
35, Self-emp-inc
31, Private
48, State-gov
36, Private
40, Self-emp-not-inc
57, Private
26, Local-gov
37, State-gov
65, Private
26, Self-emp-not-inc
42, Private
47, Private
62, Private
27, Private
76, Self-emp-not-inc
20, ?
29, Private
29, Private
32, Private
22, Self-emp-inc
30, Federal-gov
43, Local-gov
23, Private
44, Federal-gov
41, Private
49, State-gov
30, Private
23, Private
39, Private
32, Private
50, Private
19, Private
35, Private
23, Private
25, Private
40, Private
30, Private
52, Private
49, Private
24, Private
46, Private
39, Private
45, Self-emp-not-inc
62, Local-gov
43, Private
45, Private
62, Self-emp-not-inc
48, Private
56, Private
28, Private
23, Private
43, Private
26, Private
36, Private
55, Local-gov
48, State-gov
43, Private
38, Private
18, Private
56, Self-emp-not-inc
39, Self-emp-not-inc
46, Private
36, Private
42, Self-emp-not-inc
50, Private
17, Private
57, Private
73, Private
50, Federal-gov
35, Private
27, Private
24, ?
27, Private
23, Self-emp-not-inc
25, Private
51, Private
26, Private
47, Private
40, Private
58, Private
25, Private
29, Private
36, Private
46, Private
69, Private
69, Private
28, Private
20, Private
54, State-gov
25, Private
64, Local-gov
17, Private
53, Federal-gov
50, Private
57, Private
51, Private
20, ?
47, Private
25, Private
50, State-gov
20, Private
43, State-gov
46, Private
54, Private
53, Private
21, Private
58, Private
30, Private
61, Private
56, State-gov
59, Private
72, Private
33, Private
46, Private
46, Local-gov
48, Private
33, Private
21, Private
27, Private
31, Private
28, Private
45, Local-gov
51, Private
46, State-gov
25, Private
61, Private
17, Private
26, Private
35, Private
33, Self-emp-not-inc
37, Private
39, Local-gov
42, Private
35, Private
45, Private
47, Self-emp-inc
64, Private
39, Private
43, ?
34, Private
62, Private
53, Private
31, Private
26, Private
56, Self-emp-inc
43, Private
33, Private
45, Self-emp-not-inc
46, Private
26, Private
24, Private
43, Private
40, Private
61, Private
34, Federal-gov
85, Private
41, Private
31, State-gov
22, Private
60, Private
29, Private
34, ?
35, State-gov
24, Private
45, Local-gov
21, Local-gov
30, Private
50, Self-emp-inc
41, Self-emp-not-inc
21, Private
45, Private
34, Private
28, Private
19, Private
26, Private
48, Private
69, Private
41, Private
43, Private
28, Private
65, Local-gov
31, Private
28, Private
51, Private
45, Private
43, Private
31, Private
31, Private
45, Private
20, Private
25, Private
36, Private
31, Private
56, Private
26, Private
47, Self-emp-not-inc
40, Self-emp-inc
32, Private
34, State-gov
37, Private
38, Private
19, Private
49, Private
18, ?
26, Private
82, Private
40, Private
28, Private
23, Private
19, Private
67, Private
43, Private
41, Private
37, Private
20, Private
40, Private
47, Private
40, Private
39, State-gov
24, Private
78, ?
67, ?
49, Private
66, Private
52, Private
59, Self-emp-inc
72, Private
35, Federal-gov
30, Private
36, Private
26, Private
23, Private
39, Private
40, Self-emp-not-inc
29, Private
38, Private
63, Private
58, Self-emp-not-inc
30, Private
38, State-gov
25, Private
44, State-gov
43, Private
21, Private
41, Local-gov
38, Private
75, ?
29, Private
52, Self-emp-not-inc
47, Private
28, Private
24, Private
30, State-gov
30, Private
40, Private
27, Private
26, Private
32, Private
36, State-gov
26, Private
25, Private
39, Private
27, Private
24, Private
38, Self-emp-inc
35, Self-emp-not-inc
29, Private
49, Private
36, Private
47, Self-emp-not-inc
21, Private
35, Private
38, Private
66, ?
45, Private
19, Private
18, Private
37, Private
49, Private
33, Local-gov
27, Private
34, Local-gov
54, State-gov
24, Self-emp-inc
44, Self-emp-not-inc
48, Self-emp-not-inc
23, Private
29, Private
21, Private
18, Private
18, Private
29, Private
29, Private
41, Private
32, Private
61, Private
79, Private
34, Private
46, Private
50, Self-emp-not-inc
29, Private
23, Private
64, Private
70, Local-gov
28, Local-gov
51, Private
20, ?
34, State-gov
29, Private
49, Private
77, Self-emp-inc
32, Private
27, Private
22, Private
35, Local-gov
42, Local-gov
35, State-gov
62, ?
33, Private
45, Private
19, Private
38, Private
26, Private
29, Private
33, Private
35, Self-emp-not-inc
42, Private
20, Private
43, Federal-gov
69, Private
39, Private
37, Private
28, Private
26, Federal-gov
32, Private
43, Federal-gov
49, Private
28, Private
35, Private
19, ?
35, Local-gov
57, Private
45, Private
23, Private
45, Private
42, Private
35, Private
45, Private
28, Federal-gov
64, Self-emp-inc
44, Local-gov
59, Self-emp-not-inc
41, Private
21, Private
29, Self-emp-not-inc
51, Self-emp-not-inc
22, Private
49, Private
53, Private
38, Private
23, Private
20, Private
40, Private
25, Private
27, Private
20, Private
37, Private
40, Local-gov
28, Private
38, Self-emp-not-inc
42, Private
32, Federal-gov
20, Private
62, State-gov
31, Private
31, Self-emp-not-inc
24, Private
62, Local-gov
43, Local-gov
21, Private
30, Self-emp-inc
22, ?
18, Private
59, Local-gov
24, Self-emp-not-inc
49, Private
19, State-gov
48, Private
32, Private
33, Private
23, Private
33, Federal-gov
50, Federal-gov
30, Private
32, Private
39, Private
21, Private
23, Private
32, Private
57, Private
22, State-gov
70, Private
34, Private
53, Private
21, Private
37, Private
60, Self-emp-not-inc
23, Private
32, Private
57, Private
65, ?
25, Private
30, Private
31, Private
19, Private
23, State-gov
44, Private
43, ?
42, Private
34, Self-emp-not-inc
32, Private
25, Private
21, Private
31, Private
36, Local-gov
49, Self-emp-not-inc
44, Private
42, Private
30, Private
33, Private
36, Self-emp-not-inc
17, Private
20, Private
32, Private
33, Self-emp-not-inc
37, Private
60, Private
35, State-gov
43, Federal-gov
46, Private
29, Self-emp-not-inc
36, Private
27, Private
50, Private
22, Private
33, State-gov
61, Private
28, ?
41, Self-emp-not-inc
22, Private
27, Private
25, Private
32, Private
28, Private
25, Private
28, Private
37, Local-gov
58, Private
39, Private
33, Private
59, Private
58, Private
38, Private
34, Private
31, Private
48, Local-gov
65, ?
45, Private
80, ?
23, Private
33, Private
38, Self-emp-not-inc
44, Self-emp-not-inc
48, Local-gov
40, State-gov
19, Local-gov
45, Private
34, Private
70, Private
32, Local-gov
33, Private
24, Private
30, Local-gov
22, Private
52, Self-emp-inc
67, Self-emp-not-inc
40, Private
55, Private
29, Private
62, Private
22, Private
64, State-gov
29, Self-emp-not-inc
28, Private
25, Private
47, State-gov
26, Private
18, Private
52, Self-emp-inc
48, Local-gov
36, Private
23, Private
41, Private
56, State-gov
53, Private
26, Private
22, Private
25, Private
31, Private
36, Private
46, Private
46, State-gov
32, Private
43, Self-emp-not-inc
30, Private
41, Self-emp-inc
50, Private
37, State-gov
22, Local-gov
51, Federal-gov
47, Private
40, Private
46, Private
23, ?
30, Private
27, Self-emp-not-inc
31, Local-gov
31, Private
30, Private
50, Local-gov
27, Private
22, ?
29, Private
28, Private
54, Private
47, State-gov
34, Private
26, Private
53, ?
23, State-gov
42, Local-gov
36, Self-emp-not-inc
52, Federal-gov
22, ?
27, Local-gov
42, Private
39, Private
49, State-gov
36, Private
20, Private
55, Self-emp-inc
47, Private
33, Private
36, Private
39, Private
55, Private
21, ?
48, Private
30, Private
24, Private
57, Self-emp-not-inc
20, Private
18, ?
56, Private
36, Private
44, Private
57, Private
57, Private
33, Private
61, ?
39, Private
28, Private
31, Private
60, Private
36, Local-gov
58, Private
50, Private
23, Local-gov
30, Private
20, ?
90, Private
49, Local-gov
47, Local-gov
34, Private
37, Federal-gov
25, Private
37, Private
47, Private
34, Private
34, Private
35, Private
39, Private
32, State-gov
24, Private
28, Private
41, Self-emp-not-inc
69, ?
32, Private
58, Private
47, Self-emp-not-inc
41, Private
35, Self-emp-inc
24, Private
46, Self-emp-not-inc
69, Self-emp-inc
22, Private
36, State-gov
31, Private
23, Local-gov
35, Private
37, Local-gov
35, State-gov
18, Private
43, Private
53, State-gov
54, Local-gov
29, Private
46, Private
24, Private
30, Private
23, Private
27, ?
36, Private
38, Self-emp-not-inc
33, Private
66, Private
45, Self-emp-not-inc
68, ?
37, Private
17, Private
31, Private
46, Private
40, Private
34, Private
56, Private
42, Private
46, Private
30, Private
33, Self-emp-not-inc
47, Private
57, Self-emp-not-inc
34, Private
40, Private
33, Private
22, Private
29, Private
53, Federal-gov
36, Private
45, Private
36, Private
18, Self-emp-not-inc
27, Private
30, Private
34, Private
36, Private
36, Self-emp-not-inc
48, Private
41, Self-emp-not-inc
21, Private
47, State-gov
41, Private
61, Self-emp-not-inc
64, Private
35, Private
44, Private
20, Private
23, Local-gov
52, Private
43, Private
32, Private
63, Private
29, Private
42, Self-emp-inc
65, Private
24, Private
42, Private
35, Private
40, Self-emp-inc
38, Federal-gov
26, Private
46, Self-emp-not-inc
39, Private
29, ?
42, Private
36, Private
26, Private
57, Private
55, Private
35, Private
41, Private
24, Private
47, Private
34, Self-emp-inc
44, Private
18, ?
27, Private
36, Private
21, Private
29, Private
25, Private
73, Private
45, Private
28, Private
43, Private
47, Private
20, Private
22, Private
76, Self-emp-not-inc
24, Private
54, Self-emp-not-inc
30, Private
33, Private
30, Private
40, Private
27, ?
49, Private
30, Private
22, Private
19, Private
46, Private
51, Private
56, Private
53, Private
60, ?
27, Private
46, Private
37, Private
41, Private
65, ?
30, Self-emp-not-inc
57, Self-emp-not-inc
44, Self-emp-inc
32, Self-emp-not-inc
27, Self-emp-not-inc
57, Local-gov
59, Self-emp-not-inc
32, Private
90, ?
22, Private
39, Private
43, Private
38, Local-gov
61, Private
24, Private
25, Private
44, Private
55, Local-gov
90, Private
30, Private
44, Private
36, Private
63, Self-emp-inc
60, Private
34, Self-emp-not-inc
49, Self-emp-not-inc
47, Private
42, Self-emp-inc
53, Private
23, Private
28, ?
20, Private
43, Private
32, Private
43, Private
31, Private
29, ?
24, Private
39, Private
29, Private
20, Private
23, ?
42, Private
53, Private
20, Private
58, Self-emp-not-inc
51, Self-emp-not-inc
25, Private
38, Private
41, Private
58, Private
25, Private
50, Private
32, Private
31, Self-emp-inc
22, Private
37, Private
32, Private
46, State-gov
62, Private
40, Local-gov
56, Private
37, Private
41, Private
56, Private
20, Private
34, Self-emp-not-inc
45, Private
30, Private
51, Self-emp-not-inc
27, Private
38, Private
39, Private
57, ?
47, Private
77, ?
43, Private
46, Local-gov
41, Private
20, Private
30, State-gov
30, Private
22, Private
25, Private
18, Private
28, Private
50, Private
28, Private
21, Private
37, Private
28, Federal-gov
23, Private
32, Private
27, Private
55, Private
44, Private
25, Private
29, Private
50, Private
18, Private
74, Private
22, Private
27, Private
27, State-gov
41, Private
24, Private
23, Private
34, Self-emp-not-inc
46, State-gov
32, Private
41, Private
29, Private
48, Private
51, Private
34, State-gov
58, Private
52, Private
37, Self-emp-not-inc
53, Private
54, Private
36, Private
25, Private
20, Private
23, Private
39, Self-emp-inc
20, Self-emp-not-inc
28, Private
73, State-gov
67, Private
56, Private
32, Private
42, Private
33, Private
37, Private
33, Private
31, Private
59, Private
21, Private
58, Self-emp-inc
24, Local-gov
26, State-gov
26, Private
33, Local-gov
25, Private
21, Private
24, Private
39, Self-emp-not-inc
68, Private
66, Self-emp-not-inc
38, Private
41, Private
71, ?
37, Private
54, Self-emp-not-inc
27, State-gov
49, Private
19, State-gov
25, Private
47, Federal-gov
40, Private
38, Private
25, Private
25, Private
23, Private
28, Private
29, Private
32, Private
34, Private
52, Private
33, Self-emp-not-inc
19, Private
68, Private
41, Private
18, Self-emp-inc
29, Private
40, Private
51, Self-emp-not-inc
49, Private
20, State-gov
38, Local-gov
57, Private
35, Private
66, Private
27, ?
25, Private
77, ?
19, ?
70, Private
59, Self-emp-not-inc
25, Private
44, Local-gov
37, Private
75, ?
21, ?
21, Private
47, Federal-gov
20, Private
32, State-gov
28, Private
53, Private
19, ?
58, Private
22, Private
23, Private
21, Private
36, Private
39, Private
34, Local-gov
41, Local-gov
72, Private
34, Private
51, Local-gov
32, Self-emp-not-inc
38, Private
37, Private
21, ?
21, Private
26, Private
34, Private
18, Private
27, Private
20, Private
36, Private
31, ?
32, Private
54, Private
34, Local-gov
46, Private
33, Private
32, Private
42, Private
30, Private
37, Private
28, Private
25, Private
44, Self-emp-not-inc
40, Private
36, Private
21, Private
39, State-gov
24, Private
46, Private
47, ?
47, Private
35, Private
60, Self-emp-not-inc
35, Private
33, Private
21, Private
37, Private
48, Federal-gov
58, Private
21, Private
22, Private
22, Private
28, Self-emp-not-inc
33, ?
23, Federal-gov
58, State-gov
24, ?
38, Local-gov
49, Private
47, Private
50, Private
21, Private
55, Private
47, Private
19, Private
47, Private
36, Private
28, Local-gov
42, Private
41, Private
46, Private
32, Private
34, Private
33, Private
60, State-gov
53, Private
24, Private
39, Federal-gov
23, Private
50, Private
36, Local-gov
19, Private
26, Private
38, Private
41, Private
22, Private
38, Private
72, ?
39, Private
35, State-gov
38, Local-gov
19, Private
26, Private
52, Private
41, Private
45, Private
58, Federal-gov
34, Private
36, Private
19, Without-pay
26, State-gov
60, Private
35, Self-emp-not-inc
39, Private
27, Private
26, Federal-gov
17, Private
59, Self-emp-not-inc
53, Local-gov
35, Private
34, Local-gov
36, Private
36, Private
21, Private
29, Private
35, Private
59, Self-emp-not-inc
22, Private
50, Local-gov
24, Federal-gov
36, Private
31, Private
42, Self-emp-not-inc
38, Private
52, Private
46, Private
23, Private
54, Private
27, Private
42, Private
33, State-gov
19, Private
59, Private
54, Private
48, Private
19, ?
45, Private
36, Private
35, Self-emp-not-inc
47, Private
33, Private
48, Self-emp-not-inc
42, Private
19, Private
64, Self-emp-inc
51, Self-emp-not-inc
20, Federal-gov
28, Private
52, Private
29, Self-emp-not-inc
51, Private
36, Private
43, Private
52, Private
50, Private
25, Private
36, Private
44, Private
47, Private
32, Private
37, Private
40, Private
34, Self-emp-not-inc
35, Self-emp-inc
26, Private
49, Self-emp-not-inc
63, ?
46, Self-emp-not-inc
31, Local-gov
22, Private
20, Private
52, Private
26, Private
34, Private
31, Private
46, Private
22, Private
38, Private
35, Private
27, State-gov
27, Private
46, Private
40, ?
19, Private
69, ?
20, Private
34, Federal-gov
49, Private
27, Private
59, Private
45, Private
21, Private
51, State-gov
64, ?
41, State-gov
18, ?
49, Private
51, Private
20, Private
69, Self-emp-not-inc
18, ?
43, Private
50, Private
32, Private
27, Local-gov
38, Private
62, Private
46, Private
19, Private
17, ?
21, Private
36, Private
36, Private
23, Private
58, Private
40, Private
64, Private
66, Private
42, Private
55, Private
53, Private
25, Private
39, Private
20, Private
32, Private
28, Private
23, Federal-gov
18, Private
43, Self-emp-not-inc
29, Private
32, Private
31, Local-gov
60, Private
42, Private
46, Private
38, Private
18, Private
31, Private
54, Private
46, Private
27, Self-emp-not-inc
50, Local-gov
38, Self-emp-not-inc
36, State-gov
25, Private
19, Private
60, Local-gov
45, Local-gov
21, Private
42, Private
38, Private
22, ?
19, Private
23, Private
24, Private
30, Private
62, Private
26, Self-emp-not-inc
42, Federal-gov
33, Private
54, Self-emp-inc
35, Private
33, Private
45, Private
62, Private
24, Private
50, Local-gov
54, Private
58, Private
